,Heartrate,TotalSteps,sleepMin,Label
373,71.40061538,6429,477,Meduim
374,81.67832605,6429,477,Meduim
375,86.4714467,6429,477,LowA
376,83.94490184,6429,477,Meduim
377,83.74480151,6429,477,Meduim
378,88.16760125,6429,477,LowA
379,88.22406384,6429,477,LowA
380,92.50538315,6429,477,LowA
381,93.37639752,6429,477,LowA
382,92.84942529,6429,477,LowA
383,80.87977099,6429,477,Meduim
384,80.86380597,6429,477,Meduim
385,58.01612903,8921,448,Low
386,57.55016181,8921,448,Low
387,57.71518987,8921,448,Low
388,58.64918033,8921,448,Low
389,60.51948052,8921,448,Low
390,58.54019293,8921,448,Low
391,71.60122699,8921,448,Low
392,72.26540284,8921,448,Low
393,64.34482759,8921,448,Low
394,62.64497041,8921,448,Low
395,63.65921788,8921,448,Low
396,63.48991354,8921,448,Low
397,98.78826237,8921,448,LowA
398,95.74273256,8921,448,LowA
399,71.09975062,8921,448,Low
400,68.25,8921,448,Low
401,74.86519608,8921,448,Low
402,74.86700767,8921,448,Low
403,62.26139818,8921,448,Low
404,70.57868020000001,8921,448,Low
405,75.64089776,8921,448,Low
406,71.61518325,8921,448,Low
407,61.24025974,8921,448,Low
408,59.97368421,8921,448,Low
409,53.08176101,7401,453,Low
410,52.46130952,7401,453,Low
411,51.11146497,7401,453,Low
412,49.75757576,7401,453,Low
413,47.1656051,7401,453,Low
414,48.41666667,7401,453,Low
415,90.64615385,7401,453,LowA
416,77.6898263,7401,453,Meduim
417,71.31806616,7401,453,Meduim
418,77.87939698,7401,453,Meduim
419,67.95121951,7401,453,Meduim
420,70.0964467,7401,453,Meduim
421,73.28784119,7401,453,Meduim
422,64.71787709,7401,453,Low
423,60.51704545,7401,453,Low
424,59.85641026,7401,453,Low
425,86.52345679,7401,453,LowA
426,70.40053763,7401,453,Meduim
427,67.74412533,7401,453,Meduim
428,77.81047382,7401,453,Meduim
429,67.27323944,7401,453,Meduim
430,53.93693694,7401,453,Low
431,47.44193548,7401,453,Low
432,47.3768546,7401,453,Low
433,63.36940299,18952,470,Low
434,65.46488294,18952,470,Low
435,66.04620462,18952,470,Low
436,61.73548387,18952,470,Low
437,64.04516129,18952,470,Low
438,61.89408100000001,18952,470,Low
439,66.29283489,18952,470,Low
440,80.65652174,18952,470,LowA
441,84.65531915,18952,470,LowA
442,82.15824176,18952,470,LowA
443,91.80281690000001,18952,470,LowA
444,94.75714286,18952,470,LowA
445,98.05357143,18952,470,LowA
446,72.45244957,18952,470,Low
447,69.41353383,18952,470,Low
448,85.89620758,18952,470,LowA
449,77.34474328,18952,470,Low
450,69.03064067,18952,470,Low
451,81.29353234,18952,470,LowA
452,96.44503546,18952,470,LowA
453,81.09937888,18952,470,LowA
454,69.09281437,18952,470,Low
455,69.23809524,18952,470,Low
456,67.60990712,18952,470,Low
457,69.52071006,10114,535,Low
458,64.37861272,10114,535,Low
459,66.33231707,10114,535,Low
460,65.54005935,10114,535,Low
461,64.0797546,10114,535,Low
462,61.34023669,10114,535,Low
463,62.63428571,10114,535,Low
464,79.08915663,10114,535,LowA
